AAA — Анаа, Французская Полинезия, Анаа
AAB — Arrabury, Австралия, Arrabury
AAC — Al Arish International Airport, Египет, Аль-Ариш
AAD — Ad-Dabbah, Судан, Ad-Dabbah
AAE — Les Salines, Алжир, Annaba
AAF — Municipal, США, Apalachicola
AAG — Arapoti, Бразилия, Arapoti
AAH — Aachen/Merzbruck, Германия, Аахен
AAI — Arraias, Бразилия, Arraias
AAJ — Cayana Airstrip, Суринам, Аварадам
AAK — Аранука, Кирибати, Аранука
AAL — Аальборг, Дания, Аальбург
AAM — Мала-Мала, ЮАР, Мала-Мала
AAN — Эль-Аин, ОАЭ, Аль-Айн
AAO — Анако, Венесуэла, Анако
AAP — Andrau Airpark, США, Houston, TX
AAQ — Витязево, Россия, Анапа
AAR — Aarhus Airport, Дания, Аарус
AAS — Apalapsili, Индонезия, Apalapsili
AAT — Алтай, Китай, Алтай
AAU — Асау, Самоа, Асау
AAV — Allah Valley, Филиппины, Surallah
AAW — Abbottabad, Пакистан, Abbottabad
AAX — Araxa, Бразилия, Araxa
AAY — Аль-Гайда, Йемен, Аль-Гайда
AAZ — Ambriz, Ангола, Ambriz
ABA — Абакан, Россия, Абакан
ABB — RAF Station, Великобритания, Абингдон
ABC — Los Llanos, Испания, Албасет
ABD — Абадан, Иран, Абадан
ABF — Абайянг, Кирибати, Абайянг
ABG — Абингдон, Австралия, Абингдон
ABH — Альфа, Австралия, Alpha
ABI — Municipal, США, Abilene
ABJ — Felix Houphouet Boigny, Кот д’Ивуар, Абиджан
ABK — Кабри-Дар, Эфиопия, Кабри-Дар
ABL — Амблер, США, Ambler
ABM — Bamaga Injinoo, Австралия, Bamaga, Queensland
ABN — Альбина, Суринам, Альбина
ABO — Aboisso, Кот д’Ивуар, Aboisso
ABP — Аткамба, Папуа — Новая Гвинея, Аткамба
ABQ — Albuquerque International, США, Альбукерк
ABR — Municipal, США, Aberdeen
ABS — Абу-Симбель, Египет, Абу-Симбель
ABT — Al-Aqiq, Саудовская Аравия, Al-Baha
ABU — Atambua, Индонезия, Atambua
ABV — Nnamdi Azikiwe International Airport, Нигерия, Абуджа
ABW — Абау, Папуа — Новая Гвинея, Абау
ABX — Элбери, Австралия, Элбери
ABY — Dougherty County, США, Олбани
ABZ — Dyce, Великобритания, Aberdeen
ACB — Antrim County, США, Bellaire
ACC — Котока, Гана, Accra
ACD — Аканди, Колумбия, Аканди
ACE — Ланцароте, Испания, Арресиф
ACH — Altenrhein, Швейцария, Altenrhein
ACI — The Blaye, Великобритания, Элдерни
ACJ — Анурадхапура, Шри-Ланка, Анурадхапура
ACK — Nantucket Memorial, США, Nantucket
ACL — Aguaclara, Колумбия, Aguaclara
ACM — Арика, Колумбия, Арика
ACN — International, Мексика, Сиудад-Акуна
ACO — Аскона, Швейцария, Аскона
ACP — Sahand, Иран, Sahand
ACR — Араракуара, Колумбия, Араракуара
ACS — Ачинск, Россия, Ачинск
ACT — Municipal, США, Вако
ACU — Ахутупо, Панама, Ахутупо
ACV — Arcata, США, Arcata
ACX — Xingyi, Китай, Xingyi
ACY — Atlantic City Intl, США, Атлантик Сити
ACZ — Zabol A/P, Иран, Забол
ADA — Адана, Турция, Адана
ADB — Adnan Menderes, Турция, Измир
ADC — Andakombe, Папуа — Новая Гвинея, Andakombe
ADD — Bole International, Эфиопия, Аддис Абеба
ADE — Международный, Йемен, Аден
ADF — Adiyaman, Турция, Adiyaman
ADG — Lenawee County, США, Adrian
ADH — Алдан, Россия, Алдан
ADI — Arandis, Намибия, Arandis
ADJ — Marka International Airport, Иордания, Амман
ADK — Adak Island NS, США, Adak Island
ADL — Adelaide International Airport, Австралия, Аделаида
